Code,Desc
GZFZZZZ,"El artículo tiene por objectivo trazar una genealogía possible de la técnica psicoanalítica marcando la importancia de las dimenciones históricas, política y sociales en la construcción de la psicoanálisis. A partir del fenômeno del magnetismo animal, propuesto por Franz Anton Mesmer, en siglo XVIII, pasando por la hipnosis y por la sugestión, hasta encuentrarmos la transferencia psicoanalítica, intentamos remontar la influencia como pressupuesto ético-político que atraviesa y possibilita todas esas practicas.(AU)"
GZHZZZZ,"El objetivo del estudio fue valorar a pacientes con pérdidas perinatales remitidas y no al Departamento de Psicología, para determinar si es eficiente el proceso de derivación a la psicoterapia de grupo. Se hizo un estudio con 140 pacientes; 95 pasaron a psicoterapia y 45 no. La validez estadística se determinó con la prueba no paramétrica de Wilcoxon. Se aplicó el CGS de Goldberg, el IDARE de Spielberger y la EAMD de Zung. De las pacientes caso valoradas con el Idare Rasgo-Estado, 70 por ciento son derivadas a grupo terapéutico; con el CGS 80 por ciento y con la EAMD, 62 por ciento). Un poco más de la mitad de aquellas detectadas como no caso a través del EAMD, y el IDARE, entran a psicoterapia; con el CGS, casi 90 por ciento>. Los resultados muestran una alta eficiencia en la captura de pacientes con problemática emocional significativa, siendo un poco menor en la depresión."
GZ61ZZZ,"El artículo trae la experiencia de la autora en un proyecto social con un grupo de orientación profesional, evidenciando la importancia de esta área de la psicología como factor de cambios sociales y la posibilidad de que grupos de orientación profesional puedan llevarse a cabo en las escuelas públicas y/o proyectos sociales, permitiendo que los adolescentes pobres hagan opciones profesionales conscientes y construyan su proyecto de vida."
F02ZFZZ,"El dolor es un problema muy frecuente en los pacientes con cáncer, con una prevalencia del 90% en los estadios avanzados. El manejo del dolor oncológico es complejo, y un enfoque multidimensional es preciso para su manejo óptimo. Tres tipos de dolor ha sido descrito en base a la neurofisiología del dolor (Dolor somático, visceral y neuropático). Numerosas guías clínicas para el manejo del dolor oncológico han sido editadas por diversos investigadores y organizaciones. La guía clínica de la OMS es el más usado en el manejo del dolor oncológico. Los opioides, de los cuales la morfina es el prototipo, son los fármacos más importantes en el tratamiento del dolor oncológico. Los fármacos coadyuvantes son usados en el tratamiento del dolor oncológico, con el objetivo de potenciar la eficacia de los opioides, y para tratar algunos tipos específicos del dolor (dolor neuropático y óseo)"
F02ZFZZ,"Introducción: En pacientes con cáncer renal se ha observado hasta un 40 por ciento de dolor como síntoma de presentación, cifra que puede aumentar hasta 70 por ciento en etapas avanzadas. Objetivo: Obtener el perfil de manejo de pacientes con cáncer renal atendidos en la Unidad de Dolor y Cuidados Paliativos del Hospital Clínico de la Universidad de Chile (UDYCP-HCUCH). Material y métodos: Estudio descriptivo retrospectivo de pacientes ingresados a la UDYCP-HCUCH con diagnóstico de cáncer renal en la última década. Se analizaron caraterísticas clínicas, de manejo urológico y analgésico, mortalidad y sobrevida global; a través de registros estadísticos, fichas clínicas y certificados de defunción. El análisis estadístico se realizó mediante kwallis test (p<0.05). Resultados: 3.4 por ciento de los pacientes atendidos por cáncer renal en el HCUCH fueron derivados a UDYCP (n=14), en promedio a los 16.8 +/- 14.9 meses post diagnóstico. 64.3 por ciento fueron de sexo masculino. Edad promedio de 68 +/- 13.7. En 85.7 por ciento (n=12) se realizó nefrectomía radical, de los cuales 91.7 por ciento (n=11) correspondieron a carcinoma de céculas renales, 85.7 por ciento (n=12) en etapa IV. La estadía promedio en UDYCP fue de 19.5 +/- 19.2 meses. El puntaje EVA disminuyó en 65.1 por ciento con manejo analgésico (p<0.04). La mortalidad fue de 71.4 por ciento (n=10), con sobrevida promedio de 43.8 +/- 13.6 meses. Discusión: Es necesaria una mayor difusión del funcionamiento de las unidades del dolor y cuidados paliativos, para evitar una derivación tardía y mejorar la calidad de vida de estos pacientes, considerando la alta efectividad del manejo analgésico."
F02ZFZZ,"Introducción: El dolor en los pacientes quemados es uno de los más complejos, intensos y prolongados en el tiempo. La tendencia mundial muestra una disminución de ña tasa de mortalidad con aumento de los sobrevivientes por quemaduras. Se sabe que los pacientes, luego del alta, siguen sintiendo dolor. Quisimos saber la prevalencia de Dolor Neuropático, utilizando para su diagnóstico un Cuestionario-instrumento (DN4). Material y Método: estudio clínico, descriptivo, prospectivo de prevalencia. Incluyó 34 pacientes a los que se les aplicó el DN4 para diagnóstico de Dolor Neuropático. Egresados del Servicio de Cirugía Plástica y Quemados del Hospital del Trabajador de Santiago, controlados en el Policlínico de Rehabilitación. Resultados: 97.1 por ciento fueron hombres, edad 38.1 años. Superficie Corporal Quemada de 16.8 +/- 19.7 por ciento. Agentes causales: Eléctricas, 53.6 por ciento; térmicas, 40.5 por ciento; y químicas, 3.2 por ciento. El DN4 fue positivo 88.2 por ciento. Intensidad del dolor de moderado a severo. El Dolor Neuropático se asoció más a quemaduras de menor extensión. Conclusión: El diagnóstico de dolor crónico de tipo neuropático, utilizando el instrumento DN4 ocupó un alto porcentaje (88.2 por ciento) de nuestros pacientes estudiados. Asociándose más a los pacientes con quemaduras de menor extensión. Este dolor es de intensidad moderada a severa y que requiere ser tratado."
8E0ZXY1,"En las Técnicas de Reproducción Asistida (TRA) se enfrentan dos agentes morales en diálogo informado: el equipo médico y la pareja con problemas de infertilidad o esterilidad. Se entiende que el hijo es un bien humano básico para ambas partes. Existe el peligro del cientificismo y del peso excesivo de la comercialización de estas técnicas. Además, es necesario establecer correctamente las condiciones para que ese diálogo médico-paciente respete las normas éticas racionales del discurso desde la perspectiva de la ética dialógica, y tener en cuenta los intereses y derechos del hijo en cuanto el otro presente-ausente. El personalismo y la ética de los bienes básicos pueden complementar el análisis de los dilemas éticos que conllevan las TRA."
GZHZZZZ,"El propósito de este estudio fue investigar la eficacia de dos tipos de abordaje psicoterapéutico grupal (Cognitivo-Conductual- GCC y Psicodinámico- GPD) para Trastornos de la Alimentación (Bulimia Nerviosa-BN y Trastorno por Atracón-BED) en una muestra de 26 adolescentes tardías femeninas. Se utilizó un diseño Pre-Post Test, combinado con diseño de Muestras Apareadas en tres niveles de evaluación: nutricional, psicométrico y clínico. En el Nivel Psicométrico, se observó una tendencia a una menor asistencia y a una mayor deserción en el GCC mientras que en el GPD, la asistencia fue mayor y la deserción menor. En relación con la sintomatología alimentaria y los factores psicopatológicos asociados, se observó que en ambas orientaciones psicoterapéuticas la comparación entre los puntajes basales y finales muestra un descenso similar. Sin embargo, las trayectorias fueron diferentes: para el GCC, el primer tramo de tratamiento presenta un descenso rápido que luego se estabiliza o asciende mientras que para el GPD los descensos son mas graduales y constantes. Una excepción es la evolución de la ansiedad estado que en ambos tratamientos realiza un recorrido inverso. En la comparación estadística entre ambos tratamientos, los resultados mostraron eficacia terapéutica tanto en las conductas alimentarias como en los factores psicopatológicos asociados."
8E0ZXY4,"Este estudio investiga la recomendación del yoga por parte de los terapeutas cognitivos de la Ciudad Autónoma de Buenos Aires. Mediante entrevistas abiertas y una encuesta diseñada específicamente, se evalúa la utilización del yoga como recurso terapéutico complementario, en qué casos y con qué objetivos se recomienda, la percepción que los terapeutas tienen del alcance de tales objetivos y el modo en que los terapeutas integran dicha práctica a su marco teórico. De acuerdo a los datos relevados, el 66,66 por ciento de los terapeutas cognitivos encuestados recomienda el yoga como terapia complementaria. Dicha complementariedad no se basa en los conceptos del yoga sino en su asimilación a técnicas de relajación de uso frecuente en los modelos cognitivo-conductuales de tratamiento. El 81,57 por ciento de los terapeutas encuestados recomienda la práctica de yoga a pacientes con diagnóstico de trastorno de ansiedad."
F02ZFZZ,"JUSTIFICATIVA Y OBJETIVOS: El estudio del dolor ha avanzado mucho en las últimas décadas haciendo con que la evaluación y la intervención sean una preocupación creciente entre los profesionales de la salud. El objetivo de la evaluación del dolor debe ser el de proporcionar datos precisos para determinar cuáles acciones deben ser toma de las para aliviarlo o eliminarlo y la mismo tiempo, evaluar la eficacia de esas acciones. La finalidad de esta revisión fue discutir los métodos utilizados en la evaluación del dolor en neonatología, cuando las estrategias de tratamiento utiliza de las sin una evaluación sistemática del dolor no son eficaces o adecua de las. CONTENIDO: No existe ninguna técnica ampliamente aceptada y fácilmente ejecutable y uniforme para la evaluación del dolor en niños, especialmente en los recién nacidos y lactantes que pueda ser utilizada en todas las situaciones. Antes de confiar en la exactitud de los datos de Evaluación, se hace necesario que los profesionales de la salud se sientan seguros con los instrumentos usados en la recolección del esos datos. Varios indicadores pueden ser usados en la evaluación, cuantificación y calificación del estímulo doloroso, y cuando se analizan en conjunto, permiten el desglose entre el dolor y los estímulos no dolorosos. Aunque sea deseable la estandarización objetiva para la medición de la intensidad del dolor, tal medida no existe todavía. La medición ene sea franja etaria es hecha por medio de parámetros fisiológicos (frecuencia cardíaca, frecuencia respiratoria, presión arterial, etc) y comportamentales (expresión facial, postura y vocalización o verbalización), utilizando escalas de evaluación, cada una con sus ventajas y limitaciones. CONCLUSIONES: La actual atención para mejores métodos de medida y evaluación del dolor aportó para aumentar la sensibilidad de los profesionales de salud con relación a la naturaleza de las experiencias dolorosas. El dolor debe ser entendido como..."
